set,lvl,start,end,diff,ptcp,accuracy
2,17,156329,156858,3.97744360902256,19,0
2,18,159022,159573,4.14285714285714,19,0
2,19,162935,163466,3.99248120300752,19,0
2,20,169710,170211,3.76691729323308,19,0
2,21,172406,173016,4.58646616541353,19,0
2,22,176411,176842,3.2406015037594,19,0
2,23,178570,179046,3.57894736842105,19,0
2,24,180843,181278,3.27067669172932,19,0
2,25,183980,184422,3.32330827067669,19,0
2,27,191404,191932,3.96992481203007,19,0
2,28,193681,194139,3.44360902255639,19,0
2,29,195995,196436,3.31578947368421,19,0
2,30,198230,198743,3.85714285714286,19,0
2,31,200498,201022,3.93984962406015,19,0
2,32,205144,205625,3.61654135338346,19,0
2,33,207855,208287,3.24812030075188,19,0
2,34,209917,210380,3.4812030075188,19,0
3,0,214375,214822,3.3609022556391,19,0
3,1,216568,217105,4.03759398496241,19,0
3,2,218826,219338,3.84962406015038,19,0
3,3,220998,221474,3.57894736842105,19,0
3,4,223363,223891,3.96992481203007,19,0
3,5,225935,226364,3.22556390977444,19,0
3,6,228123,228633,3.83458646616541,19,0
3,7,230745,231175,3.23308270676692,19,0
3,8,234416,234850,3.26315789473684,19,0
3,9,237020,237449,3.22556390977444,19,0
3,10,240799,241261,3.47368421052632,19,1
3,11,244237,244704,3.51127819548872,19,0
3,12,247990,248545,4.17293233082707,19,1
3,13,250820,251281,3.46616541353383,19,0
3,14,253069,253516,3.3609022556391,19,0
3,15,255801,256268,3.51127819548872,19,0
3,16,258077,258670,4.45864661654135,19,0
3,17,260429,260907,3.59398496240602,19,1
3,18,262728,263158,3.23308270676692,19,0
3,19,265045,265465,3.15789473684211,19,0
3,20,267879,268319,3.30827067669173,19,1
3,21,270378,270834,3.42857142857143,19,0
3,22,273040,273509,3.52631578947368,19,0
3,23,275143,275580,3.28571428571429,19,0
3,24,277492,278028,4.03007518796993,19,0
3,25,281462,282008,4.10526315789474,19,0
3,26,284142,284581,3.30075187969925,19,0
3,27,286236,286854,4.64661654135338,19,0
3,28,288534,289176,4.82706766917293,19,0
3,29,291379,291954,4.32330827067669,19,0
3,30,294739,295167,3.21804511278195,19,0
3,32,302805,303269,3.48872180451128,19,0
3,33,305948,306388,3.30827067669173,19,0
3,34,310475,311035,4.21052631578947,19,0
1,0,2169,2857,5.17293233082707,18,0
1,1,5904,6585,5.1203007518797,18,0
1,2,8360,8878,3.89473684210526,18,0
1,3,10510,11073,4.23308270676692,18,0
1,4,14284,14900,4.63157894736842,18,0
1,5,18586,19171,4.3984962406015,18,0
1,6,25800,26304,3.78947368421053,18,0
1,7,28368,28958,4.43609022556391,18,0
1,8,30599,31052,3.40601503759398,18,0
1,10,37271,37727,3.42857142857143,18,1
1,11,NaN,41185,NaN,18,0
1,14,52174,52755,4.36842105263158,18,0
1,15,55188,55766,4.34586466165414,18,0
1,16,58529,59081,4.15037593984962,18,0
1,17,63193,63639,3.35338345864662,18,1
1,18,NaN,65926,NaN,18,0
1,19,68488,69169,5.1203007518797,18,0
1,20,71487,72026,4.05263157894737,18,0
1,22,77702,78241,4.05263157894737,18,0
1,23,80152,80612,3.45864661654135,18,1
1,24,NaN,82948,NaN,18,0
1,27,90615,91320,5.30075187969925,18,0
1,28,93585,94022,3.28571428571429,18,1
1,29,NaN,97455,NaN,18,0
1,30,99081,99622,4.06766917293233,18,0
1,33,108114,108614,3.7593984962406,18,0
1,34,110697,111291,4.46616541353383,18,0
2,0,115879,116437,4.19548872180451,18,0
2,2,NaN,122370,NaN,18,0
2,3,124025,124797,5.80451127819549,18,0
2,4,126635,127277,4.82706766917293,18,1
2,5,NaN,129895,NaN,18,0
2,6,131829,132371,4.07518796992481,18,0
2,7,134820,135380,4.21052631578947,18,0
2,8,138901,139414,3.85714285714286,18,0
2,9,141940,142524,4.39097744360902,18,0
2,10,144637,145121,3.6390977443609,18,0
2,11,146827,147255,3.21804511278195,18,0
2,12,149844,150566,5.42857142857143,18,0
2,14,158932,159447,3.87218045112782,18,0
2,15,161293,161739,3.35338345864662,18,0
2,16,165610,166290,5.11278195488722,18,0
2,17,168300,169029,5.4812030075188,18,0
2,18,170893,171474,4.36842105263158,18,0
2,19,173280,173781,3.76691729323308,18,0
2,20,176224,176658,3.26315789473684,18,0
2,21,179873,180312,3.30075187969925,18,0
2,22,182441,182862,3.16541353383459,18,0
2,23,184682,185164,3.62406015037594,18,0
2,24,186866,187406,4.06015037593985,18,0
2,26,222206,222741,4.02255639097744,18,0
2,27,224607,225061,3.41353383458647,18,0
2,28,227254,227872,4.64661654135338,18,0
2,29,230765,231430,5,18,1
2,30,NaN,235258,NaN,18,0
2,31,237232,237720,3.66917293233083,18,0
2,32,241064,241705,4.81954887218045,18,0
2,33,245401,245942,4.06766917293233,18,1
2,34,NaN,249905,NaN,18,0
3,0,256567,257018,3.39097744360902,18,0
3,1,259430,260009,4.35338345864662,18,0
3,2,262153,262614,3.46616541353383,18,0
3,3,264331,264894,4.23308270676692,18,1
3,4,NaN,278974,NaN,18,0
3,5,285246,285776,3.98496240601504,18,0
3,6,288097,288779,5.12781954887218,18,0
