,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
1162,352247,18.0,3,351780.0,3.511278195488722,tsvr17,none,,
1163,355868,19.0,3,355421.0,3.3609022556390977,tsvr17,congruent,10.0,355868
1164,358302,20.0,3,357667.0,4.774436090225564,tsvr17,incongruent,,
1165,361452,21.0,3,360871.0,4.368421052631579,tsvr17,none,11.0,361452
1166,363881,22.0,3,363326.0,4.172932330827067,tsvr17,incongruent,,
1167,366295,23.0,3,365862.0,3.255639097744361,tsvr17,congruent,,
1168,369362,24.0,3,368594.0,5.774436090225564,tsvr17,none,,
1169,372426,25.0,3,371281.0,8.609022556390977,tsvr17,none,,
1170,375358,26.0,3,374882.0,3.5789473684210527,tsvr17,incongruent,12.0,375358
1171,377768,27.0,3,377327.0,3.3157894736842106,tsvr17,none,13.0,377768
1172,380374,28.0,3,379931.0,3.330827067669173,tsvr17,congruent,,
1173,383510,29.0,3,382938.0,4.3007518796992485,tsvr17,incongruent,14.0,383510
1174,385995,30.0,3,385464.0,3.992481203007519,tsvr17,none,,
1175,388505,31.0,3,388062.0,3.330827067669173,tsvr17,incongruent,15.0,388505
1176,390645,32.0,3,390125.0,3.9097744360902253,tsvr17,congruent,,
1177,393108,33.0,3,392671.0,3.2857142857142856,tsvr17,none,16.0,393108
1178,395602,34.0,3,395174.0,3.218045112781955,tsvr17,none,17.0,395602
1179,2547,0.0,1,2079.0,3.518796992481203,tsvr16,incongruent,0.0,2547
1180,4736,1.0,1,4280.0,3.4285714285714284,tsvr16,congruent,1.0,4736
1181,7497,2.0,1,6450.0,7.87218045112782,tsvr16,congruent,2.0,7497
1182,9749,3.0,1,9314.0,3.2706766917293235,tsvr16,none,3.0,9749
1183,12724,4.0,1,11771.0,7.165413533834586,tsvr16,none,4.0,12724
1184,15556,5.0,1,15129.0,3.210526315789474,tsvr16,congruent,5.0,15556
1185,17787,6.0,1,17324.0,3.481203007518797,tsvr16,incongruent,6.0,17787
1186,20048,7.0,1,19592.0,3.4285714285714284,tsvr16,none,7.0,20048
1187,22930,8.0,1,22494.0,3.2781954887218046,tsvr16,incongruent,8.0,22930
1188,25197,9.0,1,24711.0,3.654135338345865,tsvr16,congruent,9.0,25197
1189,27379,10.0,1,26891.0,3.669172932330827,tsvr16,none,10.0,27379
1190,30082,11.0,1,29603.0,3.601503759398496,tsvr16,congruent,11.0,30082
1191,32578,12.0,1,32143.0,3.2706766917293235,tsvr16,incongruent,12.0,32578
1192,34856,13.0,1,34431.0,3.1954887218045114,tsvr16,congruent,13.0,34856
1193,37095,14.0,1,36634.0,3.4661654135338344,tsvr16,incongruent,14.0,37095
1194,39240,15.0,1,38803.0,3.2857142857142856,tsvr16,congruent,15.0,39240
1195,42705,16.0,1,41719.0,7.413533834586466,tsvr16,none,16.0,42705
1196,45536,17.0,1,45061.0,3.5714285714285716,tsvr16,incongruent,17.0,45536
1197,47737,18.0,1,47254.0,3.6315789473684212,tsvr16,none,,
1198,50752,19.0,1,50188.0,4.2406015037593985,tsvr16,incongruent,18.0,50752
1199,53013,20.0,1,52502.0,3.8421052631578947,tsvr16,none,19.0,53013
1200,55861,21.0,1,55438.0,3.180451127819549,tsvr16,none,20.0,55861
